ID,SMILES
ZINC000069512524,CCOc1ccnc(N2CCN(C(=O)CCc3cccs3)CC2)n1
ZINC000072268228,C#CCN(C[C@H]1CCCO1)C(=O)N[C@H](C)c1cccc([N+](=O)[O-])c1
ZINC000067772277,C[C@@H](Cc1ccccn1)[N@H+](C)Cc1cccc(-n2cccn2)c1
ZINC000069563864,CC[C@H](CO)NC(=O)c1ccc(NC(=O)c2ccnc(Cl)c2)cc1
ZINC000072274166,Cc1nnc([C@H](NC(=O)NCc2cccnc2)c2ccccc2)[nH]1
ZINC000097199789,C[C@H](Nc1ncnc2c1cnn2CCC#N)c1ccc2[nH]c(=O)[nH]c2c1
ZINC000058173972,CCn1nnnc1SCc1ccn(-c2cccc(F)c2)n1
ZINC000065214996,O=C(Cc1nnc(-c2ccncc2)o1)NCCc1cccs1
ZINC000057451590,C[C@@H](Cc1c(F)cccc1F)NC(=O)N[C@H]1CC[C@@H](O)CC1
ZINC000067846942_1,CC(C)=CC(=O)NC[C@@H]1CC[N@H+](C2CCN(CC(C)C)CC2)C1
ZINC000095521136,COCc1nc(CNC(=O)[C@@H](C)[n+]2cc[nH]c2C(C)C)no1
ZINC000194450242,COC(=O)c1ccc(C)c(NC(=O)NCCc2cccc(O)c2)c1
ZINC000067773914,c1ccc(CSc2ncc([C@@H]3[NH2+]CCc4nc[nH]c43)cn2)cc1
ZINC000078992826,CC[C@H](Cc1ccccc1)NC(=O)N1CC[C@](O)(C(F)(F)F)C1
ZINC000097034024,Cn1cc(C[N@@H+](C)CCN2CCOC2=O)c(-c2ccccc2)n1
ZINC000012860176,CCNC(=O)CSC1=Nc2ccccc2CS1
ZINC000025613586,C[C@@H](c1ccccc1)N(C)C(=O)c1cccc(NS(C)(=O)=O)c1
ZINC000072410265,CN(C)Cc1nnc([C@@H]2CCCN(Cc3c(F)cccc3F)C2)n1C
ZINC000023750165,C[C@@H](c1nc(=O)c2c3c(sc2[nH]1)C[C@H](C)CC3)N1CCOCC1
ZINC000019322266,CCCC12CN3CC(C)(CN(C1)C3c1ccc([N+](=O)[O-])o1)C2=O
ZINC000009596359,CC(C)C/N=C1\SCC(c2ccc(O)c(C(N)=O)c2)=NN1C
ZINC000120900238,CCO[C@@H]1C[C@H]([N@@H+](C)Cc2cn3cccnc3n2)C12CCC2
ZINC000072269602,Cc1nc(C)c(C(=O)N2CC[NH+]([C@@H]3CCC[C@H]3O)CC2)s1
ZINC000095389682,COC[C@H](C)NC(=O)CCC(=O)N1CCSc2ccccc21
ZINC000328586758,O=C(c1ccnnc1)N1CCO[C@H](c2ccc(OC(F)F)cc2)C1
ZINC000022699130,CC(=O)N[C@@H](C)C(=O)N1CCC[N@@H+](Cc2ccccc2)CC1
ZINC000004564359,C[C@@H](OC(=O)c1cccn1C)C(=O)Nc1ccc(Cl)cn1
ZINC000019841367,Cc1cc(NC(=O)CCN2CCOCC2)ccc1Br
ZINC000005307533,CC[C@H](C(=O)N1CCCCC1)n1nnc2ccccc2c1=O
ZINC000069538439,CNC(=O)CN1CCO[C@@H](c2cc(F)c(Cl)cc2Cl)C1
ZINC000079099110,C[C@@H]1CCc2c(sc3ncnc(NCc4cc(C(N)=O)no4)c23)C1
ZINC000067872769,CCc1c(C)cc(C(=O)NCC[C@@H]2CCC[N@@H+](C)C2)c(=O)n1C
ZINC000069653504,COC(=O)N[C@@H](C(=O)NCc1ccc(-n2ccnc2)c(F)c1)C(C)C
ZINC000004496670,O=C(CSc1ccccc1)Nc1nnc(-c2ccco2)o1
ZINC000000050897,CCc1nc(NC(C)=O)sc1-c1ccc([N+](=O)[O-])o1
ZINC000004482395,CCCOC(=O)C1=C(C)NC(=O)N[C@H]1c1ccccc1OC
ZINC000067459811,O=C(NCCOc1ccccc1)c1cc(COc2ccccc2)n[nH]1
ZINC000025605652,CN1N=C(C(=O)N[C@H](c2ccccc2)c2cccs2)CCC1=O
ZINC000003366307,COC(=O)C1=C(C(F)(F)Cl)NC(=O)N[C@@H]1c1ccccc1
ZINC000005637596,NS(=O)(=O)c1ccc(CCNc2ccc([N+](=O)[O-])cc2)cc1
ZINC000069379837,COCCCNC(=O)CN(C)c1ccc(SC(C)C)nn1
ZINC000247769323,O=C(CCN1C(=O)[C@@H]2CCCC[C@H]2C1=O)NCC[C@H]1CCCO1
ZINC000004313382,Cc1nc(SCC(=O)N(C)C)c2c3c(sc2n1)CCCC3
ZINC000072286063,Cc1ncccc1C(=O)Nc1nccn1Cc1ccccc1Cl
ZINC000120713060,NC(=O)[C@@H]1CCC[C@@H](n2c(=S)[nH]c3ccccc3c2=O)C1
ZINC000218677616,Cc1[nH+]ccn1-c1ccccc1CNC(=O)CN1CCOCC1
ZINC000032917678,C[C@H](CC(=O)O)S(=O)(=O)c1ccc2c(c1)NC(=O)CS2
ZINC000101617839,COc1ccc([C@@H]2CC(=O)C=C(Nc3nonc3N)C2)c(OC)c1
ZINC000072458708,O=C([C@H]1CCCO1)N1CCC(Oc2ccccc2)(C(=O)O)CC1
ZINC000038678380,O=C(Cc1ccc(NC(=O)Oc2ccccc2)cc1)NC1CC1
ZINC000069618932,Nc1nc(Cl)cc(N2CCN(c3nc4cccnc4s3)CC2)n1
ZINC000069568976,CN(C)S(=O)(=O)c1ccc(OCc2ccccc2[N+](=O)[O-])cc1
ZINC000021839892,C[C@@H]1CCCC[C@H]1NC(=O)COC(=O)c1cc([N+](=O)[O-])cn1C
ZINC000069349644,C[C@H](NC(=O)NCC(C)(C)c1ccccc1F)c1nncn1C
ZINC000014950342,COc1cc(-c2nc(C[N@H+](CCO)C(C)C)c(C)o2)ccc1F
ZINC000021319745,CCS(=O)(=O)c1ccc2oc(=S)n(CN3CCOCC3)c2c1
ZINC000334298517,COc1cccc(C(=O)N2CC[C@@]3(C)[C@H](C2)C3(F)F)c1
ZINC000058010837,Cc1cccc(C[N@@H+]2CCC[C@H]2C(=O)NCC(F)(F)F)c1
ZINC000005042748,C=CCOc1ccc([C@@H]2NC(=O)NC(C)=C2C(=O)OCC)cc1OC
ZINC000237661414,C[C@@]1(C(=O)O)CCN(C(=O)c2cn(-c3ccccc3)nn2)C1
ZINC000102135411,C[C@@H](CNC(=O)c1cnn2c1[nH]c(=O)c1ccccc12)c1ccccc1
ZINC000017030777,C[C@H](CC(=O)O)CC(=O)Nc1ccc(Cn2cncn2)cc1
ZINC000020716325,Cc1nc2n(n1)[C@@H](CC(=O)Nc1cccc([N+](=O)[O-])c1)C(=O)N2
ZINC000095384176_1,Cc1nc[nH]c1C[N@H+]1C[C@@H]2CC[C@H](C1)N(Cc1nccn1C)C2
ZINC000022996805,O=[N+]([O-])c1ncn(Cc2ncc(C(F)(F)F)cc2Cl)n1
ZINC000028115212,O=C(COC(=O)[C@@H]1CCCN1c1ncccn1)NC1CCCC1
ZINC000096441541,CN(CC[C@@H]1CCCC[N@H+]1C)CC(=O)NCc1cccnc1
ZINC000005822026,CCCC[C@@H](COC(=O)c1ccccc1C(=O)O)CC(=O)O
ZINC000069389797,CCNC(=O)CN(CC)C(=O)NCC1(c2ccccc2C)CC1
ZINC000028879120,Cc1cc(NC(=O)[C@H](C)[NH2+][C@@H](C)c2ccc(F)cc2F)no1
ZINC000067605567_2,CC[N@@H+](CCc1nc2ccc(OC)cc2[nH]1)C1CCOCC1
ZINC000006218374,COC(=O)c1ccc(C(=O)NCc2ccc(C)cc2)cc1
ZINC000000111644,CN(C)c1ccc(/C=N/NC(=S)NC[C@H]2CCCO2)c(Cl)c1
ZINC000085450292,CS(=O)(=O)Cc1nc(Cl)c(Br)c(Cl)n1
ZINC000097110803,O=C(Cc1ccc(F)c(F)c1)Nc1ncccc1F
ZINC000004476482,CC[N@H+]1CCC[C@H]1CNC(=O)C(=O)Nc1cccc(OC)c1
ZINC000012912851,COc1ccc(CC(=O)NCc2ccc3c(c2)OCCO3)cc1
ZINC000095074472,Cc1ccnc(N2CCC[C@@H](N(C)C(=O)OC(C)(C)C)C2)c1
ZINC000065407951,C/C(=C\c1ccco1)CN1CC[NH+](CCn2cncn2)CC1
ZINC000015671178,C[C@@H]1CC(=O)Nc2ccccc2N1C(=O)/C=C/c1ccccc1
ZINC000017969220,Cc1ccc(NC(=O)CSc2nc3[nH]ncc3c(=O)[nH]2)cc1
ZINC000096116622,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12
ZINC000095349562,CC(C)CN1C[C@H](C(=O)NC2(C(=O)O)CCCCC2)CC1=O
ZINC000004999435,COc1ccc(NC(=O)CCc2nc3cc(C)ccc3[nH]2)cc1
ZINC000121856972,CO[C@H](CNC(=O)Cc1ccsc1)c1ccccc1Cl
ZINC000085555924,Cc1noc(-c2cccnc2N2CC[C@@H](NC(=O)C3CC3)C2)n1
ZINC000065610565,Cc1ncc(CO/N=C(\N)c2ccc(CN3CCOCC3)cc2)s1
ZINC000253370394,C[C@H](CNC(=O)N(C)C[C@H]1CCCC[C@@H]1O)Cn1cccn1
ZINC000374224139,CC(C)n1cnc(C(=O)N[C@@H]2C[C@@H](C)N(c3ccccc3)C2=O)c1
ZINC000000299638,CC(C)CCNC(=O)[C@H]1CC[N@H+](Cc2ccccc2F)CC1
ZINC000075603230,CCc1nc(CN2CCC[N@@H+](C[C@@H]3CCCCO3)CC2)no1
ZINC000097160183,Cc1n[nH]cc1CNc1nn2cc(C(C)(C)C)nc2s1
ZINC000009874427,O=C(NCc1ccco1)N1CCN(c2ccc(F)cc2)CC1
ZINC000065423057,Cc1ccccc1OC[C@@H]1CCC[N@@H+](Cc2cnc(N)nc2)C1
