IDs,smiles,clusters
ZINC000000190512,Cc1ccc(S(=O)(=O)n2cnc3ccccc32)cc1,12
ZINC000007725866,Cc1nc2cc(NS(=O)(=O)c3cc(C(=O)O)ccc3C)ccc2o1,12
ZINC000000409048,Cc1ccc(S(=O)(=O)Nc2ccncc2)cc1,12
ZINC000097141691,Cc1cccc(Cl)c1NS(=O)(=O)c2cccnc2,12
ZINC000095439259,Cc1cc(F)c(S(=O)(=O)Nc2nncs2)cc1F,12
ZINC000010274221,Cc1ccccc1NS(=O)(=O)c2ccc3[nH]c(=O)cc(C)c3c2,12
ZINC000096246456,COCC[N@@H+]1CCO[C@H]2CN(C(=O)c3ccc(C)cc3)C[C@H]21,13
ZINC000072164161,CN(Cc1ccccc1)C(=O)CC[N@H+]2CCC[C@@]3(CN(C)C(=O)O3)C2,13
ZINC000096201708,C[C@@H]1C[N@@H+](CCc2ccccc2)C[C@]13CCN(CC(=O)N(C)C)C3=O,13
ZINC000096073974,COCCN1CC[C@]2(CCC[N@H+](Cc3ccc(OC)cc3)C2)C1=O,13
ZINC000521397307,CC(=O)N1CC[C@](O)(CN2Cc3ccccc3C2=O)C(C)(C)C1,13
ZINC000257320614,C[NH+](C)C[C@@]1(O)CCN(C(=O)CC[N@H+](C)Cc2ccccn2)C1,13
ZINC000096224831,CN(C)C(=O)[C@H]1C[C@]2(CCC[N@@H+](Cc3cccnc3)C2)CO1,13
ZINC000096062983,COCC[N@H+]1CC[C@]2(CCCN(C(=O)c3cccnc3)C2)C1,13
ZINC000257205240,C[N@H+](CC(=O)N1CC[C@H](O)[C@]2(CCCO2)C1)C3CCCC3,13
ZINC000096224700,COCC[N@H+]1CCC[C@]2(CCN(Cc3cccc(C)n3)C2=O)C1,13
ZINC000072409728,O=C(NCc1n[nH]c(=O)c2ccccc12)[C@H]3NCCc4[nH]cnc43,14
ZINC000426652998,O=C(NCc1ccc2c(c1)CCO2)c3[nH]nc4c3CCC4,14
ZINC000053833264,Cc1cc(NC(=O)CCCc2nc3ccccc3[nH]2)n[nH]1,14
ZINC000072405250,O=C(NCCc1cnc[nH]1)c2[nH]nc3ccccc23,14
ZINC000070378675,Cc1cc(C(=O)N[C@@H](CCC(=O)O)c2ccccc2)[nH]n1,14
ZINC000244773775,O=C(Cc1n[nH]c2ccccc12)N[C@H](c3ccccc3)[C@H]4C[C@H](O)C4,14
ZINC000020719783,O=C1C[C@H](c2ccccc2)c3c[nH]nc3N1,14
ZINC000004715508,O=C(NCCc1ccc(Cl)cc1)c2ncn[nH]2,14
ZINC000000033906,CCC1=C[C@@](O)(C(F)(F)F)N(C(=O)CCc2ccccc2)N1,14
ZINC000004381148,COc1ccc(CNC(=O)c2ncn[nH]2)cc1,14
ZINC000067194160,COc1ccc(C(=O)CN2CCN(c3ccccc3F)CC2)cc1,15
ZINC000253427440,O=C(CCc1cnccn1)N2CCC[C@@H](Oc3ncccc3F)C2,15
ZINC000154616305,O=C(c1ccc(O)cc1F)N2CCCCC2,15
ZINC000000030130,C[C@H]1CN(C(=O)c2c(Cl)cccc2Cl)C[C@H](C)O1,15
ZINC000019934912,CCOC(=O)C1CCN(C(=O)Cc2cccc(F)c2)CC1,15
ZINC000079110182,O=C(c1cccc(F)c1F)N2CC[C@H](OCCN3CCOCC3)C2,15
ZINC000095409581,O=C(CC1CCN(Cc2ccc(F)cc2F)CC1)N3CCOCC3,15
ZINC000262910038,O=C(O)[C@H]1CN(C(=O)CCCOc2ccccc2F)CCO1,15
ZINC000019770525,Cc1cc(OCCCCN2CCOCC2)ccc1Cl,15
ZINC000095354597,O=C1COc2ccc(F)cc2N1C[C@@H]3CCCCO3,15
ZINC000408515146,Cc1cc(F)c(NC(=O)NCCCCCO)cc1Cl,16
ZINC000017742877,COc1ccccc1NC(=O)NCCCOC[C@H]2CCCO2,16
ZINC000006741057,CCCNC(=O)Nc1cccc(CC)c1,16
ZINC000025236531,Cc1cccc(NC(=O)NCC[C@@H]2CCCO2)c1,16
ZINC000049026947,Cc1ccc([C@H](O)CNC(=O)NCCc2ccccc2)o1,16
ZINC000007561181,CCc1ccccc1NC(=S)NCCOC,16
ZINC000014016904,COc1ccc(OCCNC(=O)Nc2ccc(F)cc2F)cc1,16
ZINC000000472184,COc1ccc(CCNC(=O)Nc2ccccc2OC)cc1,16
ZINC000001640225,CCCCOC(=O)c1ccc(NC(=O)NCCC)cc1,16
ZINC000058159488,C[C@H](O)c1ccc(CNC(=O)N[C@H]2CC[C@@H](O)CC2)cc1,16
ZINC000096950863,CC(C)(C)OC(=O)N1CCC(C[C@@H](O)C[NH3+])CC1,17
ZINC000091365924,CC(C)(C)OC(=O)N1CCC(Nc2cnccn2)CC1,17
ZINC000079408306,CC(C)(C)OC(=O)NC1CCN(CC[NH3+])CC1,17
ZINC000019415018,C[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CCCCC1,17
ZINC000228910524,CC(C)(C)OC(=O)N[C@@H]1CCCN(c2cccc(C=O)c2)C1,17
ZINC000225522442,CC(C)(C)OC(=O)N1CC[C@H](NCc2cccnn2)C1,17
